"product_name","product_link","category_name","category_link"
"QSC KW122 1000W 2-Way 12"" Powered PA Speaker","https://www.storedj.com.au/qsc-kw122-1000w-2-way-12-powered-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"RCF ART 312-A MK3 12"" Active Speaker w/ Gig Bag","https://www.storedj.com.au/rcf-art-312-a-mk3-12-active-speaker-w-gig-bag","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Eurolive B108D Active 8"" PA Speaker","https://www.storedj.com.au/behringer-eurolive-b108d-active-8-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Alto Transport 12 400w Battery-Powered Sound System","https://www.storedj.com.au/alto-transport-12-400w-battery-powered-sound-system","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"JBL EON208P Portable 8"" Two Way PA System w/ Blutooth","https://www.storedj.com.au/jbl-eon208p-portable-8-two-way-pa-system-w-blutooth","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"DAP Audio DLM-12A 12"" Active PA Speaker System w/ Celestion Driver","https://www.storedj.com.au/dap-audio-dlm-12a-12-active-pa-speaker-system-w-celestion-driver","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"DAP Audio Splash 10A 10"" Active PA Speaker System","https://www.storedj.com.au/dap-audio-splash-10a-10-active-pa-speaker-system","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"PreSonus AIR10 10"" 1200W 2-Way Active Sound Reinforcement Loudspeaker","https://www.storedj.com.au/presonus-air10-10-1200w-2-way-active-sound-reinforcement-loudspeaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer Eurolive B112W Wireless Active 12"" PA Speaker","https://www.storedj.com.au/behringer-eurolive-b112w-wireless-active-12-pa-speaker","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
"Behringer CE500A-BK Active 80W Commercial Speaker (Black)","https://www.storedj.com.au/behringer-ce500a-bk-active-80w-commercial-speaker-black","Powered Speakers ","https://www.storedj.com.au/live-sound-pa/pa-speakers-amps/powered-speakers"
