"product_name","product_link","category_name","category_url"
"Absolute Beginners Mandolin Book & CD","https://www.kosmic.com.au/absolute-beginners-mandolin-book-cd","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"AC/DC Riffology","https://www.kosmic.com.au/ac-dc-riffology","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"ACDC - Back In Black","https://www.kosmic.com.au/acdc-back-in-black","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"ACDC - Black Ice","https://www.kosmic.com.au/acdc-black-ice","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Alctron TM04 Guitar Cab Grabber Large","https://www.kosmic.com.au/alctron-tm04-guitar-cab-grabber-large","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Alfred's Drum Method Book 1","https://www.kosmic.com.au/alfreds-drum-method-book-1","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 400 Natural Classical Guitar Open Pore","https://www.kosmic.com.au/almansa-400-natural-classical-guitar-open-pore","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 400 Natural CW EZ Fishman Classical Guitar Open Pore","https://www.kosmic.com.au/almansa-400-natural-cw-ez-fishman-classical-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 401 3/4-Size Classical Guitar with Solid Cedar Top","https://www.kosmic.com.au/almansa-401-3-4-size-classical-guitar-with-solid-c","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 401 Cadete 3/4-Size Classical Guitar Open Pore","https://www.kosmic.com.au/almansa-401-cadete-3-4-size-classical-guitar-open","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
"Almansa 401 Classical Guitar        ","https://www.kosmic.com.au/almansa-401-classical-guitar","Guitars By Fender, Gibson, Ibanez, Maton, Cole Clark, Yamaha and more.","https://www.kosmic.com.au/guitar/"
