"product_name","product_link","category_link"
"Crafter GAE650TM Acoustic Electric Guitar","https://www.ghmusic.com.au/crafter-gae650tm.html","https://www.ghmusic.com.au/guitars?limit=all"
"Crafter HILITE TE VINTAGE Acoustic Electric Guitar ","https://www.ghmusic.com.au/crafter-hilite-te-vtg.html","https://www.ghmusic.com.au/guitars?limit=all"
"HOSA TECHNOLOGY 6"" GUITAR PEDAL CABLE - METAL RIGHT ANGLE PLUGS ","https://www.ghmusic.com.au/hosa-technology-06-inch-pedal-cable-metal-ra.html","https://www.ghmusic.com.au/guitars?limit=all"
"HOSA TECHNOLOGY 12"" PEDAL CABLE - METAL RIGHT ANGLE PLUGS","https://www.ghmusic.com.au/hosa-technology-12-inch-pedal-cable-metal-ra.html","https://www.ghmusic.com.au/guitars?limit=all"
"Stagg SG-A0081BK A Frame Acoustic/Electric Guitar Stand","https://www.ghmusic.com.au/stagg-sg-a0081bk-a-frame-acoustic-electric-guitar-stand-black.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Multi-Stand 3 Guitar Stand","https://www.ghmusic.com.au/fender-multi-stand-3-guitar-stand.html","https://www.ghmusic.com.au/guitars?limit=all"
"KONIG & MEYER Memphis 10 Guitar Stand","https://www.ghmusic.com.au/konig-meyer-memphis-10-guitar-stand.html","https://www.ghmusic.com.au/guitars?limit=all"
"Xtreme Multi Guitar Stand (3)","https://www.ghmusic.com.au/xtreme-multi-guitar-stand-3.html","https://www.ghmusic.com.au/guitars?limit=all"
"Fender Universal A Frame Electric Guitar Stand","https://www.ghmusic.com.au/fender-universal-a-frame-electric-guitar-stand.html","https://www.ghmusic.com.au/guitars?limit=all"
"Ashton FS100 Footstool","https://www.ghmusic.com.au/ashton-fs100-footstool.html","https://www.ghmusic.com.au/guitars?limit=all"
"Electro-Harmonix Micro POG Pedal","https://www.ghmusic.com.au/electro-harmonix-micro-pog.html","https://www.ghmusic.com.au/guitars?limit=all"
"Electro-Harmonix POG 2 Pedal","https://www.ghmusic.com.au/electro-harmonix-pog-2.html","https://www.ghmusic.com.au/guitars?limit=all"
"Way Huge WHE701 Aqua Puss Pedal","https://www.ghmusic.com.au/way-huge-whe701-aqua-puss.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR M75 Super Badass Distortion Pedal","https://www.ghmusic.com.au/mxr-m75-super-badass-distortion.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Micro Chorus Pedal","https://www.ghmusic.com.au/mxr-micro-chorus.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Smart Gate Noise Gate Pedal","https://www.ghmusic.com.au/mxr-smart-gate-noise-gate.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Carbon Copy Pedal","https://www.ghmusic.com.au/mxr-carbon-copy.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Custom Audio Electronics Boost Linedriver Pedal","https://www.ghmusic.com.au/mxr-custom-audio-electronics-boost-linedriver.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Fullbore Metal Pedal","https://www.ghmusic.com.au/mxr-fullbore-metal.html","https://www.ghmusic.com.au/guitars?limit=all"
"MXR Custom Badass 78 Distortion Pedal","https://www.ghmusic.com.au/mxr-custom-badass-78-distortion.html","https://www.ghmusic.com.au/guitars?limit=all"
